,title,link
0,一人でもバンドだぜ！ 1万以上の音色でベースとドラムを奏でるギター用無線アンプ,https://news.yahoo.co.jp/articles/d40a82eb6658f5e89f06cba1788c1ab536096738
1,「DX」関連株の中で、長期成長に期待の日米の2銘柄！時価総額が世界2位ながら売上＆利益が急成長の「マイクロソフト」、経営改革で収益力上昇の「富士通」に注目,https://news.yahoo.co.jp/articles/52362cce33460d2febb6b5043cdc33b08531899e
2,DeepLの翻訳結果に突如現れた顔文字「彡(^)(^)」が話題,https://news.yahoo.co.jp/articles/25a89051528884020a5338539bc03ae5786be645
3,米Amazon「レビュー詐欺師に責任を負わせる」　偽レビュー業者を2社を提訴,https://news.yahoo.co.jp/articles/bbfac4a0ea5f090aab7b415451adcab3a9b86dc7
4,メディアエージェンシーの世界で、 AI はユビキタスを達成したか？,https://news.yahoo.co.jp/articles/3f833466a24c3a69f43d7c8b1a678ee57762a33a
5,AIなどの先進技術で生産性を高めた3D CAD「NX」の最新版,https://news.yahoo.co.jp/articles/c81338ddbbdd7cf9add8ba2118c4c2b7c61d89e3
6,モトローラの最新ハイエンド端末「motorola edge 30 pro」は「日本発売の予定アリ」,https://news.yahoo.co.jp/articles/c6b59d5bb685db9ef9ff07ea5c960c692ea4a80c
7,AIにビジネスの常識を組み込むことはできるのか--効果的に生かすには,https://news.yahoo.co.jp/articles/b63316607a4cba0426f05e0d05e99d5c7c155fea
8,アマゾンが「究極の財務諸表はフリー・キャッシュフロー」だと断言する理由,https://news.yahoo.co.jp/articles/c9143d3cdd71ba6478006a61020b8b979f816452
9,富士通が仮想化5G基地局を開発、世界で展開,https://news.yahoo.co.jp/articles/38584da63ed58bed72a6933c4d09b76ec07f2f69
10,OPPO、ハイエンド新モデル「Find X5 Pro」「Find X5」を発表,https://news.yahoo.co.jp/articles/96161b3e4dccadde93564899fe4a91323300b259
11,米モトローラ、新プレミアムスマホ「edge 30 Pro」発表,https://news.yahoo.co.jp/articles/a862c73d0db162f6a1b80d7d2c6937c5ca9d47de
12,米アマゾン、不正レビューのブローカーを提訴,https://news.yahoo.co.jp/articles/17341e54d58b0413e9a8cec909de7d8e6230c413
13,Pythonソフトウェア財団、「PyPI」の組織アカウント機能構築で開発者募集,https://news.yahoo.co.jp/articles/4b5a2b0c551e0ec881210d1ff74aaaed84babc71
14,米アマゾン、偽レビュー業者2社を提訴,https://news.yahoo.co.jp/articles/a390f6efecda00fba44a27b25314919c95e07fc9
15,総力戦で消費者に“刺さる”製品を! ソニーが語る「LinkBuds」開発秘話,https://news.yahoo.co.jp/articles/5a4ae0993c7d80db555483f47e4daeb8b46a4a7f
16,ダイキンのDX、他社協業の狙いとは？--アイデミー石川の「DXの勘所」【前編】,https://news.yahoo.co.jp/articles/5e8972ff9d1faf43fab05189868d672c914124cb
17,AI、三日会わざれば刮目して見よ!,https://news.yahoo.co.jp/articles/9f37fab8a68e33f3adfcd43d56a6c6f0fa48c300
18,「産業用AI」「産業用AIoT」とは何か、2021～26年の予測で見えた“明るい”市場動向,https://news.yahoo.co.jp/articles/1c1241c3631ec987e1e02d1f7916202e00f711d8
19,インフレが今年の市場に最も影響＝ＪＰモルガン機関投資家調査,https://news.yahoo.co.jp/articles/c023e6bd53f4dca2dc71c73f4a50f21cabaca352
20,米国でAI関連職種の年収ダウン　中国では安定して増加傾向に,https://news.yahoo.co.jp/articles/c661dff09fe5545ff1ca89f8270d45cde2bf92b6
21,＜挑戦者2022＞「じゃがいも１袋」を正しく栄養素に変換　シルタスのアプリはなぜ“買い物するだけ”で食事管理ができるのか,https://news.yahoo.co.jp/articles/303a7bd94d88aed21a374a3dad1a89d7db26363a
22,Orbital Insight に聞く、宇宙から見守る持続可能なものづくり【伊東せりか宇宙飛行士と考える地球の未来#4】,https://news.yahoo.co.jp/articles/49dcbf7cd35b12a83deee66d5e93ee0f64898604
23,採用につながりやすい高需要の開発者スキルは？,https://news.yahoo.co.jp/articles/f6df0e398544e78fbff6350857681b3dfbbdf2d0
24,会議、講演を高精度でラクラク文字起こし　グーグルのAIスマホ「Pixel 6」,https://news.yahoo.co.jp/articles/bf18a7f5e17c2b66f6dd8bc2c1d7dde75f29ea75
25,WATCHA、映像＆音楽＆ウェブ漫画を一気に楽しめる「WATCHA 2.0」を今年リリース,https://news.yahoo.co.jp/articles/d2eba5cfcb6dd4e09dca12f13a7d58ce1555e14a
26,目的地はスマホ任せ!? 「旅の行き先」アプリが提案 日産が独自開発した「トラベルトリガー」とは,https://news.yahoo.co.jp/articles/4f844ca9e77ce9e408dafce54daacf1dc630bcc7
27,共有により人生の体験を増やすボディシェアリング《玉城絵美さんインタビュー》【未来を創る発明家たち】,https://news.yahoo.co.jp/articles/5ef9fa8432dee0cb8fa7f63d5e84beaeea73f685
28,ウイスキーを嗅ぎ分けるAI「NOS.E」　銘柄や産地などを95％の精度で識別,https://news.yahoo.co.jp/articles/f80df121441754aba81b5143b034d3d3cf5b7187
29,今日から君もラッパーに！　カメラで写した猫も楽器もAIでラップ化　「Giorgio Cam」でテンションUPだ,https://news.yahoo.co.jp/articles/b2f3580697028bcd857346ebc670124e61caf38e
30,“30分配送”がさらに進化、中国スマート物流事情。2社が共同で生んだ秀逸な仕組み,https://news.yahoo.co.jp/articles/9958ab773163ca7ac85548f23b08a52c6857bb69
31,日産、「NAVITIME Travel」で行動データを元に好みに合う旅行先や立ち寄り先を提供する「トラベルトリガー」サービスの実証実験,https://news.yahoo.co.jp/articles/9b616d2866514a2a6233a5bb6c4b7d39cece3929
32,日産自動車が独自開発の提案機能による「トラベルトリガー」サービスの実証実験を開始。ユーザーひとりひとりの好みに合う旅行先を提案,https://news.yahoo.co.jp/articles/91b455a4cae9420482963e0d6ab94b9ce89d7a65
33,「VOICEPEAK」と「CeVIO Pro」、 新しい音声・歌声合成製品はどこがすごいの？　商用可能でMac対応でほぼ人間,https://news.yahoo.co.jp/articles/eebcc1fa250b97f4d4de78b459029913f5557c7e
34,ナビタイム×日産、NAVITIME Travelで旅行先や立ち寄り先を提案するサービス,https://news.yahoo.co.jp/articles/aa033d678244f2a4cad6c1ef03c7fa4f5c0c7ba2
35,ユーザー好みの旅を提案、日産「トラベルトリガー」サービスの実証実験開始,https://news.yahoo.co.jp/articles/6905171d1bd8777193dca010092e59d31497e71a
36,AWS Summit学生向けコンテスト「DeepRacer Student League」,https://news.yahoo.co.jp/articles/8ea924b703e308ec36fd5e4ed5345c2bf609c4e9
37,Qアノンの“Q“の正体が判明か。研究チームが背後にいる2人を名指し,https://news.yahoo.co.jp/articles/e18816c0549299e3a5dbd84d738f55858a43e22d
38,「レスポンシブルAI」「AIライフサイクル」など、AIとデータに関する5つの未来予測,https://news.yahoo.co.jp/articles/c2ead2e558ed294639a4c5875cd8aab32c6b193b
39,進歩がすさまじい「機械翻訳」、その理由をトップ技術者に聞く,https://news.yahoo.co.jp/articles/48e7d4bf1711e1530d240d1a863ac985ab49f088
40,仕事や権利の剥奪、兵器の反乱や暴走…AIは「脅威」なのか？,https://news.yahoo.co.jp/articles/5c2305307a0f622f44e8522838058dae814154b6
41,「カンニング不可能」と言われる中国のオンライン入試はどう行われているのか。新型コロナを乗り越え、いち早く成長を果たした決め手は14億人総動員の「人海戦術」だった,https://news.yahoo.co.jp/articles/66d47831782ae68015e0b12595082d922aa55e55
42,「偏光情報」を活用できるレンズが、スマートフォンのカメラをもっと賢くする,https://news.yahoo.co.jp/articles/db68e35f63e221ceea4526321650c361c39250d2
43,安全な自動運転の実現へ！　自動車用AI開発が抱える難題とは何か？,https://news.yahoo.co.jp/articles/5ae91324da32fa14307bdf92e195e8c50a7ccceb
44,F5、新たなクラウド基盤「F5 Distributed Cloud Services」を発表--社名変更にも言及,https://news.yahoo.co.jp/articles/63772a161bd68c419dda726ababd48ecc0ca167b
45,YouTube、偽情報対策を強化へ--他サイトへの拡散防止など,https://news.yahoo.co.jp/articles/b704899d5b8fb5fd0304c5b3626c7b3bf635f736
46,「現場での作業」も、リモートワークになる時代がやってきた,https://news.yahoo.co.jp/articles/ab2f025164088bb93f1e57ae8bc07730bc2d6e60
47,優秀な人材は既存の人事評価には表れない。日本企業の強みを生かした「デジタル人材」の育成方法とは,https://news.yahoo.co.jp/articles/50d604e9f73e658cca45562ff75ba98edc582384
48,“6nmプロセス化”だけではない！　AMDがモバイル向け「Ryzen 6000シリーズ」の進化を力説,https://news.yahoo.co.jp/articles/a18a6bd0100ee7c0aae589dfad2089f11f4c8074
49,SK hynixがPIMを開発、GDDR6にアクセラレーター統合,https://news.yahoo.co.jp/articles/af11329f5ac3cf40b913e13c76637332608a402b
50,AWS、コードレビュー自動化の「CodeGuru Reviewer」に新機能--Log4Shellに類似した脆弱性検出,https://news.yahoo.co.jp/articles/e7186b9ea7bb2a8601e6eb5a2b311f72bacddc29
51,ツイッターCEO、「数週間」の育休取得へ　休み中は幹部と連絡も,https://news.yahoo.co.jp/articles/474afe8606e609ccdd660b48d38d9e1f782295f4
52,ソニー、“耳をふさがない”穴あきワイヤレスイヤホン「LinkBuds」25日発売,https://news.yahoo.co.jp/articles/f6536f8429a6a1281b7af3e359ce9fdd30b6d404
53,Ansys 2022 R1がAWS対応…デジタルツイン時代のシミュレーション環境へ,https://news.yahoo.co.jp/articles/9011fad993d3ebce595d7cf0b0ba8587045f7c63
54,写真を抽象的なスケッチに変換するAI　対象物の本質を最小限に表現,https://news.yahoo.co.jp/articles/a031d6e7d525f36d5a8eb6ba66f07946c4666d4b
55,「ギルド」からオープンソースまで--Bloombergのイノベーションを支えるエンジニアリング,https://news.yahoo.co.jp/articles/aeab50b5469faf01eee7f1e1e2f5e43270ac000e
56,「オンライン」と「リアル」がリンクする――ソニーが語る“耳をふさがない”ワイヤレスヘッドフォン誕生の背景,https://news.yahoo.co.jp/articles/d4292ee91e96d9ad1292ce5cba6d4491edb180ea
57,ソニーから“穴の開いた”ヘッドホンが登場！　「LinkBuds」が革新的になるかもしれない理由,https://news.yahoo.co.jp/articles/652b744beaba3c5265b08fac5ddfc7062860f44a
58,ソニー、穴あきドライバー搭載の“ながら聴き”完全ワイヤレス「LinkBuds」,https://news.yahoo.co.jp/articles/29aef98ab9fb125c06e838186db8439ed45ebfc1
59,ソニー、ドライバに“穴があいた”新スタイルイヤフォン「LinkBuds」,https://news.yahoo.co.jp/articles/3a5a643a1855d0f61ea56f9ef0cf37b6612f5d79
60,オンデマンドで再プログラム可能なICチップ、AIの継続学習を可能に　米パデュー大学などが開発,https://news.yahoo.co.jp/articles/1e71a8799f3b09d64ac261c6ba5047ed34692bd5
61,アンシス、バッテリEVや自動運転向けの新機能と機能強化を実装した「Ansys 2022 R1」リリース,https://news.yahoo.co.jp/articles/05755b9eb2808e0596781ceb4a18b994bb9ef8b8
62,シミュレーションソリューションの最新版「Ansys 2022 R1」の注目ポイント,https://news.yahoo.co.jp/articles/1ee12201ef0d350a05eef2134b879a75159e8610
63,Kubernetesの利用が拡大、エッジなど最先端の用途で高い活用率,https://news.yahoo.co.jp/articles/7a7450cc119bd4531d06587c762717da5ce588c9
64,ドライヤー中の通話でも、相手に騒音が聞こえない！　雑音を排除するiPhoneの便利機能がスゴすぎた,https://news.yahoo.co.jp/articles/654cdbd8e577b62c319246804e0fbda2d30ef7df
65,AIが生み出す不平等を、「アルゴリズムによる修復」は解決できるか,https://news.yahoo.co.jp/articles/a801d16038fb123ac3117ae80947e528e1fb96d9
66,NEC X、Eコマース向けコメント分析を提供するAIスタートアップ企業「Exponential AI」を設立,https://news.yahoo.co.jp/articles/656fad77eb046ade0e357e9118f1eab9f12ebb56
67,AMD、競合Xilinxの約500億ドルの買収を完了,https://news.yahoo.co.jp/articles/57b18b30269d9f47035280232b21822e29bbd8b8
68,AWS、第3世代「AMD EPYC」搭載EC2インスタンス「C6a」--コンピュート集約型ワークロード向け,https://news.yahoo.co.jp/articles/82d139b6b49eb3a6f60b7893cd9bfedec481fedf
69,iPhone活用術｜写真に「キャプション」をつける方法,https://news.yahoo.co.jp/articles/ac2554eb3121bc028b951665d7f96976c50352ac
70,データサイエンティストの需要が急増--競争力を維持するには,https://news.yahoo.co.jp/articles/6d73088fbe93e3ca81f3cb7f2244dc001ee1bed7
71,テック系職業が半数を占めた「米国のベストジョブ50」,https://news.yahoo.co.jp/articles/037901a464b6cea2494f07c5fc7980ea83a0025f
72,Googleが認めた次世代セキュリティ企業Salt Security、評価額14億ドルに,https://news.yahoo.co.jp/articles/de0ac48d67e79c4b255d8db5cb26768dd17604f6
73,「グランツーリスモ」で人間を破ったソニーのAIは、自律走行車に進化をもたらすか,https://news.yahoo.co.jp/articles/29630f2917ce5eabb1a3d4391ea51ec8dcd98af6
74,史上最大規模の「宇宙の地図」が、ダークエネルギーの謎を解き明かす,https://news.yahoo.co.jp/articles/4731bd19ab50baf7414a1770a62d6897f29067ab
75,Twitch、ポリシー強化でセックスやドラッグ関連のユーザー名は3月1日までに改名するよう警告,https://news.yahoo.co.jp/articles/04f7955b35226eed1657b9a1c8a695680b19cd07
76,XR手術にアバターが立ち会い。NVIDIAがAIやXRを活用した医療DXを紹介,https://news.yahoo.co.jp/articles/56d8c6033cac9e3990189693dd8da71a5d92d397
77,FB副社長・ヤン ルカンの語る「機械学習に求められている課題」,https://news.yahoo.co.jp/articles/8ba77d2f5117190fe28b25f5541ba446507a4275
78,iPhone「ボイスメモ」の見逃せない10の便利機能,https://news.yahoo.co.jp/articles/11e46bc1d4302f20aa3aab08f9e086b169334881
79,AIは男女関係にも効く？　アルゴリズムで恋愛、夫婦関係を制御,https://news.yahoo.co.jp/articles/1747082b348beb486fbccde0498ac551fe526275
80,孫正義氏も驚きのアプリ　20歳起業家が合成したAI音声、声優やタレントの声も登録,https://news.yahoo.co.jp/articles/d91a7cde05dc5b6ecf002bb83deba2b1fdb9e12a
81,iOS 15の「声を分離」機能が「これはすごい」「超便利」と話題に　ドライヤーを使いながら通話しても気付かない驚異のノイズキャンセル性能,https://news.yahoo.co.jp/articles/bfa7203a12c891c998609898a6c3b0e691ac9362
82,サイバーセキュリティへの関心高まる--O'Reilly「2022年テクノロジートレンド」,https://news.yahoo.co.jp/articles/b3663ba80ea62ea067f853d645013ec7231a121f
83,地上で撮った写真の場所を空から特定、精度は85.6％　NEC開発　災害救助などに活用へ,https://news.yahoo.co.jp/articles/43cb5cdfed886823cfce4350f06fb51e1a450efb
84,レッドブルF1、アメリカのソフトウェア大手『オラクル』とタイトルスポンサー契約を締結,https://news.yahoo.co.jp/articles/0c4df28661c043db8cf857e0d3a84c82339bc828
85,ソニーAI、自立型エージェント「グランツーリスモ・ソフィー」。世界王者を破る成果も,https://news.yahoo.co.jp/articles/814861dac71c2b5868a2985ed751616f634450ce
86,レッドブルF1「シミュレーションの回数1000倍、速度10倍」レース戦略、エンジン開発、コスト削減などオラクルの技術をF1でフル活用,https://news.yahoo.co.jp/articles/a2dc2698f87b4c21441aef1f2cb83f503c0a5919
87,ITプロフェッショナルが今磨くべきスキルとは--AWSのラーニングプロダクト責任者に聞く,https://news.yahoo.co.jp/articles/52bc6dc34b0430db870a96d722eb43d1dc2fb833
88,【F1新車】王者レッドブル、新チーム正式名称は「オラクル・レッドブル・レーシング」,https://news.yahoo.co.jp/articles/e56ebee76bcc6519c72afb119c91a3170c650409
89,iOS 15.4で可能になった「マスクでもFace ID」顔認識AIはどこまで進化する？,https://news.yahoo.co.jp/articles/70945d3a9317705969ed9955d8534c17b4792693
90,MFS、住宅ローン審査AIが瞬時に判断--「住宅ローン提案サービス」を自動化,https://news.yahoo.co.jp/articles/e68d27ddd75f7ac4748bb1b4a3b7e4236e406832
91,意図しないタッチを98％以上で判別　常に指を置いたままタイピングできるタッチスクリーン,https://news.yahoo.co.jp/articles/89831a87020735902e8cb37e5ff71bb3fbc3b925
92,マクラーレンF1のスポーティングディレクターなどを務めたサム・マイケル、FIA安全委員会の委員長に就任,https://news.yahoo.co.jp/articles/d8b3b6a43fd103fe4e983029693fc5227e5391f6
93,マッチングアプリ経由の詐欺被害増加　相手をどう見極めればいいのか,https://news.yahoo.co.jp/articles/e9c096c7a58e94d3284ede1f2d803fa6ec793389
94,北京五輪ジャンプ男子NH、小林陵が金 強さの秘密「富岳」が解き明かす,https://news.yahoo.co.jp/articles/4907d08573105d1c4f7746d9f1ec707b076a4b3b
95,昨今の企業不祥事を振り返って,https://news.yahoo.co.jp/articles/04da3c0c5d2bfde99e438d71343e4e48af27172c
96,クラウドインフラ支出が500億ドル超、AWSやMSが依然シェア上位--2021年Q4、Canalys,https://news.yahoo.co.jp/articles/40fbbb8aa3231b559c798e31dacd9bcad707d0b3
97,新型コロナの臓器損傷、世界最高輝度のX線が明らかに,https://news.yahoo.co.jp/articles/6b8624bdead7ef6c1cd16734a856968617657ef0
98,ASMR≠バイノーラル録音！YouTubeで人気の「知られざる音の世界」とは,https://news.yahoo.co.jp/articles/6c3bed29845d119bc69a75000c4e628e4af84080
99,中国が狙う世界の国民データと諜報活動,https://news.yahoo.co.jp/articles/9e9c97505dd61a451aa83ce6050803292516b18b
100,「ルンバ j7+」は日本の住宅に向くロボット掃除機,https://news.yahoo.co.jp/articles/1818b611e845364486539ab543edd7d0d1ee1382
101,【3993】PKSHA Technology AIアルゴリズム開発の雄 SaaS事業が着実に成長,https://news.yahoo.co.jp/articles/6250479214648d35c1b050b79599de524e02400c
102,新型ロボット掃除機「ルンバ j7/j7+」は「避ける」が得意技…写真と動画でチェック,https://news.yahoo.co.jp/articles/106d0cd56bac3d444042dc7eeda3b7f60bec0b87
103,「大いなる学び直し」革命へ　それこそが人材危機の打開策だ,https://news.yahoo.co.jp/articles/210394cbb9a5b71b890e1d4f3a83c3f0274fe512
104,アルピーヌ、5年以内に勝てるチームを目指して……ルノーの”AI技術”が武器になる？,https://news.yahoo.co.jp/articles/4ad3b8fbc01a056843d482971389d865491d2f10
105,Googleがクチコミの仕組みについて公表、機械学習と人が管理して24時間体制でサポート,https://news.yahoo.co.jp/articles/3344ff3d281ed0f99b41e6f039eed1a835c93d3c
106,「デジタルアレルギー」が日本企業のDXを阻む！組織改革のプロが治療法を伝授,https://news.yahoo.co.jp/articles/ad8cb7d45b6acd5a46573b66c9fee518a38a962a
107,作った歌詞を歌ってくれるカシオトーン登場　革命的な進化を紹介,https://news.yahoo.co.jp/articles/641b961d90f09006db43390a1ab3afd0838a1104
108,GRスープラがハンズフリードリフトに挑戦！自動運転は今、ここまで進化した。,https://news.yahoo.co.jp/articles/5e48e3866c88520b8f66ff024677be1a9b16752f
109,マツダ、自動車のモデルベース開発にAI活用--環境負荷の低い自動車開発を加速,https://news.yahoo.co.jp/articles/b3392ba82848827f184faa42bf2a084715ecd21e
110,DATAFLUCT、機械学習と外部データを組み合わせサプライチェーンを最適化する「Perswell（パースウェル）」提供開始,https://news.yahoo.co.jp/articles/ad078ee0ec243856bd3914c0982b13df59b3c6ac
111,「アメリカでも若者の車離れ」自動車会社の岐路,https://news.yahoo.co.jp/articles/601fe1903b83a76d3d7f487d260ef04685eef050
112,Webブラウザで影絵遊び　AIとカメラで手の形を認識、影が動物に変身――お題コンプリートは難易度高し,https://news.yahoo.co.jp/articles/b6bd632a14ed5330626115b47944028b91b0d0d6
113,Googleアナリティクス4はいつ導入すべき？ 旧GAとの違い・利用メリットを小川卓氏が徹底解説,https://news.yahoo.co.jp/articles/c511bdac6d111aede1f195317b8919f00237b3f1
114,データ分析のクラウド化を進めるテラデータ--ユーザーが望むのはマルチクラウド,https://news.yahoo.co.jp/articles/fc12518259f07eec90f01590c118e4fb55ec7c34
115,広角カメラを使って障害物を効率的に回避――ロボット掃除機「ルンバ j7／j7+」が日本上陸　2月10日発売,https://news.yahoo.co.jp/articles/320f10f2c9e747e6266120e8c6f53afdfbb0ab81
116,ペットのうんち、吸い込んだら新品交換　新しいルンバはAIに自信,https://news.yahoo.co.jp/articles/9b32dd4e770db1f60e9511ceeabefa8d734bfc76
117,今なおスマホのカメラに足りないと思う「2つの機能」　2022年の進化を占う,https://news.yahoo.co.jp/articles/3fd31972eb9fe099192f0a91f641c4d13b11011e
118,TSMCの5nmプロセス採用したヘテロジニアスAIプロセッサ,https://news.yahoo.co.jp/articles/d5e6a432e08898364fe8517105687e16a7f4beb9
119,ITエンジニア「35歳定年説」は過去のこと！？…「40歳以上」ITエンジニアの採用が右肩上がりで上昇,https://news.yahoo.co.jp/articles/2db46f6e48988b38edca9546c460b9133d67c4c6
120,EC事業者が押さえておくべきInstagramの最新情報＆自社サイトへの誘導を増やすための3ポイント＆広告活用を解説,https://news.yahoo.co.jp/articles/d1aa3a191f1de366249dd47336c4de7cd804c1d0
121,日本のビジネスの中枢を動かすデータサイエンティストの仕事／Gruff 代表　原田 博植,https://news.yahoo.co.jp/articles/6fb8f03b4e93c001519514c9f16831ef87c8d5d0
122,マイナビ、ソフトウェア開発事業を展開するベトナム企業「NALS」を買収・子会社化　ITエンジニア不足解消に貢献,https://news.yahoo.co.jp/articles/a5fd5a763394157ecbe5aaf7d327e613377c387a
123,Akash Network（AKT）、クラーケンに上場,https://news.yahoo.co.jp/articles/f7e7fbe6b7303f2066a4e9d810fa617535751ebd
124,「ThinkPad X1」が採用したFPGAとエッジAI向けソリューション,https://news.yahoo.co.jp/articles/b7969a6175d7ecf7549f625ee4cd8552c4da4cb1
125,Apple ATT 実装後も続く、 Facebook の高需要：ティヌイティがレポート発表,https://news.yahoo.co.jp/articles/f7847e20e0b73b399f98c7ad238e0a6f44d22952
126,インドの優秀な人材を効果的に--インスタリムのエンジニア採用の実際,https://news.yahoo.co.jp/articles/90a6bb976bffa9956f38dcfb767295524144cdd4
127,自動化で1200万人の雇用が失われる可能性？リスクの高い職は--欧州,https://news.yahoo.co.jp/articles/8fa86f33e75fafa842829567336450deae5b72f1
128,アメリカで急成長中の仕事トップ8［2022年版］,https://news.yahoo.co.jp/articles/7e2bc9d7c84a1eeaf641fe29fb0abe37e0eebfdb
129,量子コンピュータは何がすごいのか？　NASAとGoogleが世の中の空気を変えた,https://news.yahoo.co.jp/articles/eb1dace704e97b2d29d68f858f25c542a5560cc1
130,ロボットが支援なしでブタの手術に成功--米ジョンズ・ホプキンズ大学,https://news.yahoo.co.jp/articles/5947791d1fe9209ffeb5f0be9df74c8824c64c4a
131,ＳＫハイニックス、第4四半期は大幅増益　供給網は下期に改善予想,https://news.yahoo.co.jp/articles/61b3ea419e868cae8d6483ecbf5f5ef648855447
132,AI／ML向けプロセッサアーキテクチャ、処理能力は最大1200TOPS,https://news.yahoo.co.jp/articles/2322f119d0b48efae2139d3e88f3c7ea12104e45
133,AIアナ、八戸テレビが“採用”　県内初、情報番組を担当,https://news.yahoo.co.jp/articles/ce85a20d1030b28f2f137e076487519144d1fda9
134,上場から4年、PKSHAが「業態の進化」に自信を深めるワケ,https://news.yahoo.co.jp/articles/0f08e7c04e3a7db7b9e927be2943cc5d036e456c
135,「伸びる株の3原則」から考える、GAFAM以外の米国注目銘柄,https://news.yahoo.co.jp/articles/40583192c0d7564bb1eae01907daefcd0eecc9e8
136,PC版『DEATH STRANDING DIRECTOR’S CUT』3月30日発売決定！購入済orこれからオリジナル版を買えばお手頃価格でアップグレード可能,https://news.yahoo.co.jp/articles/4958b805f03212107bbc0ddcbb3ce7396ae886e3
137,歌声を奏でるキーボードがカシオから登場　スマホから入力した歌詞通りなめらかに歌う,https://news.yahoo.co.jp/articles/dff3abf74d4229ca99749940b7b6ca7a4bef72f0
138,【2022年のD2Cマーケティング】D2Cに移行していくBtoCとBtoBブランドなどトレンド予測＆成功するための重要ポイント,https://news.yahoo.co.jp/articles/70a44ea65ee3e0efc4dcfcbf3d6512b9ec795792
139,巨大IT企業は「倫理的な責任」追及から逃れられない…「忖度しない分析チーム」こそが必要だ,https://news.yahoo.co.jp/articles/7f6fb9f21b061a90e832db016400d29a94713f7c
140,レースの傾向からも面白い存在に！ 根岸SでAIが指名した注目の伏兵は？,https://news.yahoo.co.jp/articles/bf59315b7abc967c557d04d5065b4fd2ffdbe5b9
141,Google、脱Cookie技術「FLoC」開発を停止し、新たな「Topics」を発表,https://news.yahoo.co.jp/articles/c2a6101d898f20ab5a1ae3c226e6cab6bf286e51
142,AIの医療分野での活用には、まだ課題が山積している：新型コロナウイルス対策の利用事例から明らかに,https://news.yahoo.co.jp/articles/6707ee36555a4af6b9fbc1ef3495fe9e7e35b8b4
143,トンガ噴火に起因する神奈川県の「アラート多すぎ」事件に何を学ぶか,https://news.yahoo.co.jp/articles/8c48d0b7acc1c9a58e6c8a2510c9e311c32c9a14
144,2022年も転職市場は活況　採用ニーズが高まる分野とは　DX人材は引く手あまた,https://news.yahoo.co.jp/articles/67292d7c0751b94ddc52505d29f660192303a7cc
145,自宅でサバゲーを始める女性？ 「自サバ女」の解釈がネット界隈で大喜利状態に！,https://news.yahoo.co.jp/articles/2a235a2d1276f216a6ebd129b37de56ab91e127a
146,議会の最中にスマホをイジる政治家を検知するAI爆誕。動画と名前付きで本人にツイートしちゃうぞ,https://news.yahoo.co.jp/articles/e9bac8068a99677c9e76ff0a46659261a38e0700
147,公平なアルゴリズムは存在しないのか。日本企業にAI倫理が必須になるワケ,https://news.yahoo.co.jp/articles/41dda11fd187f25724599d42b430ee582dca8975
148,NFTにおける芸術と著作権侵害の狭間,https://news.yahoo.co.jp/articles/92f75fd981ad2cf22713734a3b3671b960c2778b
149,AIで消化器疾患の診断支援、米Iterative Scopesが170億円調達,https://news.yahoo.co.jp/articles/469182f2399212b676d11431022dced113c6298d
150,未成年者の年齢を推定するAI技術は、子どもに本当に「安全」をもたらすのか？,https://news.yahoo.co.jp/articles/85d8a119ad3217e7c15250720118907dd53d7e2f
151,クリエイターエコノミープロジェクト「CoeAvatar」、FiNANCiEでトークン発行,https://news.yahoo.co.jp/articles/843954187cf5f98bd40e9af1aaf8d093ec6e66be
152,Microsoft、「Windows 10 20H2」環境のPCに「21H2」を自動配信開始,https://news.yahoo.co.jp/articles/98ec482c3c70a0727e9c947976a0b6e22f9d2dd5
153,米アマゾン、初のアパレル店舗「アマゾン・スタイル」をLAに出店,https://news.yahoo.co.jp/articles/57f8765d906b246676378927d7abe8bfc7fb922d
154,「コロナ時代のアマビエ・プロジェクト」の集大成　展示「コロナ禍とアマビエ 6人の現代アーティストが『今』を考える」開催決定,https://news.yahoo.co.jp/articles/84698fdd4cdfde8b592b3a4d5499215428093b21
155,日本の文化を未来につなぐ 人のチカラと技術のチカラ──キラリと光る日本の技──,https://news.yahoo.co.jp/articles/c910c70d24383a67078c3705df242e128f00b0a6
156,人気薄でも強調材料アリで高評価！ AJCCでAIが指名した注目馬は？,https://news.yahoo.co.jp/articles/20d64c934da3c4f6e398edd1e9656bb45e4b346d
157,AIがあなた好みの服を選ぶ？米国ネットサイトが急成長の理由,https://news.yahoo.co.jp/articles/9f2ed1df7acba2a1177ff787899ba314c18ddd65
158,ITエンジニアが選ぶ、おすすめビジネス書・技術書ベスト10　翔泳社が発表,https://news.yahoo.co.jp/articles/164575a16a325105950ec25ac280dc884a49c4bc
